RPA,3,12,w1,w2,w3,1
Index,d,SE,1,3,7,
0,0,0,0,0,0,
1,1,1,1,0,0,
2,2,2,-1,1,0,
3,3,1,0,1,0,
4,4,2,0,-1,1,
5,5,1,0,0,-1,
6,6,2,-1,0,1,
7,7,1,0,0,1,
8,8,2,0,1,-1,
9,9,1,0,-1,0,
10,10,2,1,-1,0,
11,11,1,-1,0,0,
,TSE,16,,,,
,MSE,0.444444444,,,,
,PSNR,51.65262879,,,,
