RPA,3,50,w1,w2,w3,2
Index,d,SE,1,6,43,
0,0,0,0,0,0,
1,1,1,1,0,0,
2,2,3,1,-1,-1,
3,3,6,2,-1,-1,
4,4,5,-2,1,0,
5,5,2,-1,1,0,
6,6,1,0,1,0,
7,7,1,0,0,-1,
8,8,2,1,0,-1,
9,9,5,2,0,-1,
10,10,8,-2,2,0,
11,11,5,-1,2,0,
12,12,3,-1,1,-1,
13,13,2,0,1,-1,
14,14,3,1,1,-1,
15,15,5,1,0,-2,
16,16,8,2,0,-2,
17,17,9,-2,2,-1,
18,18,6,-1,2,-1,
19,19,5,0,2,-1,
20,20,5,0,1,-2,
21,21,6,1,1,-2,
22,22,9,2,1,-2,
23,23,9,-1,-2,2,
24,24,8,0,-2,2,
25,25,9,-1,2,-2,
26,26,8,0,2,-2,
27,27,9,1,2,-2,
28,28,9,-2,-1,2,
29,29,6,-1,-1,2,
30,30,5,0,-1,2,
31,31,5,0,-2,1,
32,32,6,1,-2,1,
33,33,9,2,-2,1,
34,34,8,-2,0,2,
35,35,5,-1,0,2,
36,36,3,-1,-1,1,
37,37,2,0,-1,1,
38,38,3,1,-1,1,
39,39,5,1,-2,0,
40,40,8,2,-2,0,
41,41,5,-2,0,1,
42,42,2,-1,0,1,
43,43,1,0,0,1,
44,44,1,0,-1,0,
45,45,2,1,-1,0,
46,46,5,2,-1,0,
47,47,6,-2,1,1,
48,48,3,-1,1,1,
49,49,1,-1,0,0,
,TSE,243,,,,
,MSE,1.62,,,,
,PSNR,46.03565346,,,,
