PA,3,6,w1,w2,w3,1
Index,d,SE,1,2,3,
0,0,0,0,0,0,
1,1,1,1,0,0,
2,2,1,0,1,0,
3,3,1,0,0,1,
4,4,1,0,-1,0,
5,5,1,-1,0,0,
"	",TSE,5,,,,
"	",MSE,0.277777778,,,,
"	",PSNR,53.69382862,,,,
