NO.,a,b,c,d,period
1,1,1,1,2,6
2,1,1,1,4,12
3,1,1,2,1,8
4,1,1,2,3,8
5,1,1,2,5,8
6,1,1,3,2,12
7,1,1,3,4,12
8,1,1,4,1,8
9,1,1,4,3,4
10,1,1,4,5,8
11,1,1,5,2,6
12,1,1,5,4,12
13,1,2,1,1,4
14,1,2,1,3,4
15,1,2,1,5,4
16,1,2,2,1,4
17,1,2,2,3,4
18,1,2,2,5,4
19,1,2,3,1,4
20,1,2,3,3,4
21,1,2,3,5,4
22,1,2,4,1,4
23,1,2,4,3,2
24,1,2,4,5,4
25,1,2,5,1,4
26,1,2,5,3,4
27,1,2,5,5,4
28,1,3,1,2,12
29,1,3,1,4,12
30,1,3,2,1,8
31,1,3,2,3,8
32,1,3,2,5,8
33,1,3,3,2,6
34,1,3,3,4,12
35,1,3,4,1,8
36,1,3,4,3,4
37,1,3,4,5,8
38,1,3,5,2,12
39,1,3,5,4,12
40,1,4,1,1,4
41,1,4,1,3,4
42,1,4,1,5,4
43,1,4,2,1,2
44,1,4,2,3,2
45,1,4,2,5,2
46,1,4,3,1,4
47,1,4,3,3,4
48,1,4,3,5,4
49,1,4,4,1,2
50,1,4,4,3,2
51,1,4,4,5,2
52,1,4,5,1,4
53,1,4,5,3,4
54,1,4,5,5,4
55,1,5,1,2,6
56,1,5,1,4,12
57,1,5,2,1,8
58,1,5,2,3,8
59,1,5,2,5,8
60,1,5,3,2,12
61,1,5,3,4,12
62,1,5,4,1,8
63,1,5,4,3,4
64,1,5,4,5,8
65,1,5,5,2,6
66,1,5,5,4,12
67,3,1,1,2,12
68,3,1,1,4,12
69,3,1,2,1,8
70,3,1,2,3,8
71,3,1,2,5,8
72,3,1,3,2,12
73,3,1,3,4,6
74,3,1,4,1,4
75,3,1,4,3,8
76,3,1,4,5,4
77,3,1,5,2,12
78,3,1,5,4,12
79,3,2,1,1,4
80,3,2,1,3,4
81,3,2,1,5,4
82,3,2,2,1,4
83,3,2,2,3,4
84,3,2,2,5,4
85,3,2,3,1,4
86,3,2,3,3,4
87,3,2,3,5,4
88,3,2,4,1,2
89,3,2,4,3,4
90,3,2,4,5,2
91,3,2,5,1,4
92,3,2,5,3,4
93,3,2,5,5,4
94,3,3,1,2,12
95,3,3,1,4,6
96,3,3,2,1,8
97,3,3,2,3,8
98,3,3,2,5,8
99,3,3,3,2,12
100,3,3,3,4,12
101,3,3,4,1,4
102,3,3,4,3,8
103,3,3,4,5,4
104,3,3,5,2,12
105,3,3,5,4,6
106,3,4,1,1,4
107,3,4,1,3,4
108,3,4,1,5,4
109,3,4,2,1,2
110,3,4,2,3,2
111,3,4,2,5,2
112,3,4,3,1,4
113,3,4,3,3,4
114,3,4,3,5,4
115,3,4,4,1,2
116,3,4,4,3,2
117,3,4,4,5,2
118,3,4,5,1,4
119,3,4,5,3,4
120,3,4,5,5,4
121,3,5,1,2,12
122,3,5,1,4,12
123,3,5,2,1,8
124,3,5,2,3,8
125,3,5,2,5,8
126,3,5,3,2,12
127,3,5,3,4,6
128,3,5,4,1,4
129,3,5,4,3,8
130,3,5,4,5,4
131,3,5,5,2,12
132,3,5,5,4,12
133,5,1,1,2,6
134,5,1,1,4,12
135,5,1,2,1,8
136,5,1,2,3,8
137,5,1,2,5,8
138,5,1,3,2,12
139,5,1,3,4,12
140,5,1,4,1,8
141,5,1,4,3,4
142,5,1,4,5,8
143,5,1,5,2,6
144,5,1,5,4,12
145,5,2,1,1,4
146,5,2,1,3,4
147,5,2,1,5,4
148,5,2,2,1,4
149,5,2,2,3,4
150,5,2,2,5,4
151,5,2,3,1,4
152,5,2,3,3,4
153,5,2,3,5,4
154,5,2,4,1,4
155,5,2,4,3,2
156,5,2,4,5,4
157,5,2,5,1,4
158,5,2,5,3,4
159,5,2,5,5,4
160,5,3,1,2,12
161,5,3,1,4,12
162,5,3,2,1,8
163,5,3,2,3,8
164,5,3,2,5,8
165,5,3,3,2,6
166,5,3,3,4,12
167,5,3,4,1,8
168,5,3,4,3,4
169,5,3,4,5,8
170,5,3,5,2,12
171,5,3,5,4,12
172,5,4,1,1,4
173,5,4,1,3,4
174,5,4,1,5,4
175,5,4,2,1,2
176,5,4,2,3,2
177,5,4,2,5,2
178,5,4,3,1,4
179,5,4,3,3,4
180,5,4,3,5,4
181,5,4,4,1,2
182,5,4,4,3,2
183,5,4,4,5,2
184,5,4,5,1,4
185,5,4,5,3,4
186,5,4,5,5,4
187,5,5,1,2,6
188,5,5,1,4,12
189,5,5,2,1,8
190,5,5,2,3,8
191,5,5,2,5,8
192,5,5,3,2,12
193,5,5,3,4,12
194,5,5,4,1,8
195,5,5,4,3,4
196,5,5,4,5,8
197,5,5,5,2,6
198,5,5,5,4,12
